cedarrapids,"Copper topped 44"" Round Pedestal Table & 4 Chairs!",00202_4LeLzWvT5o8,1900
cedarrapids,Media cabinet,00l0l_8f7auLLgItD,500
cedarrapids,Restored Antique Bookshelf with Glass Doors,01010_gY6uA0O6duX,135
cedarrapids,BAR Stools,00J0J_82Y4J1e5vDn,40
cedarrapids,Dressers and headboard,00Y0Y_1YcxISp8WOe,200
cedarrapids,Glass heavty duty lamp.,01111_lJYu6M4QC5n,10
cedarrapids,Heavy Duty Jewelry Cabinet.  Nice Gift!,00i0i_cTnVatqhntm,20
cedarrapids,Queen Bed Frame and Headboard,00a0a_FJCEBpTEkc,160
cedarrapids,1 Wooden swivel bar stool,01717_dWZZHLyMvFh,20
cedarrapids,Folding Antique Wooden Chairs- Have 2!,00i0i_bMITAg9mNLt,12
cedarrapids,Medevil chair,00B0B_99iJIHngGqO,1080
cedarrapids,Nice storage cabinet-Has lots of uses!,00P0P_bdehXKAy72c,12
cedarrapids,Mosaic Mirror-pier One,00s0s_jYUa6PMtK4p,100
cedarrapids,LP Gas Outdoor Firebowl with Tile Mantel,00L0L_5hzUADHgBkJ,185
cedarrapids,Wood Table Top,00202_gdqM4fX9QVm,15
cedarrapids,Vintage chairs,00x0x_jJyLQcJJlsx,80
cedarrapids,Wood Cabinet,00t0t_7UeFyJE70gr,250
cedarrapids,Nice Glass TV Stand.,00l0l_61h5WFUQOI9,45
cedarrapids,"Sofa Bed, La Z Boy Reclining Sofa/Loveseat & Recliners",00y0y_82XaJRn6HTF,50
cedarrapids,Kitchen Island,01717_8hqLuGRS0or,125
cedarrapids,tables and chairs,00a0a_iwDYaomRPXp,50
cedarrapids,Jenn Air cooktop,00O0O_dOsqA0ikzpI,325
cedarrapids,Computer desk,00i0i_hzlXbjtGOsj,20
cedarrapids,4 Dining Chairs,00n0n_hSZnAyvvb7p,150
cedarrapids,Vintage Wrought Iron Patio Set,01616_hPWPeDyq9Fg,275
cedarrapids,Beautiful tv cabinet,00x0x_3qgGPOr7TRb,50
cedarrapids,Trundle Bed,00K0K_1gfI7UqDqPO,150
cedarrapids,Twin bed,00606_lSZWpB0uI7x,75
cedarrapids,Sofa Express Long Sofa,00p0p_4odBlEOCd2v,350
cedarrapids,Glider Chair with Ottoman,01717_450u4Dsp56J,30
cedarrapids,Puluski Ft Door Lighted & Mirrored 6 Shelf Curio,00W0W_fxAx7jlUzUt,200
cedarrapids,Antique Rocking Chair/ Folding,00p0p_kLg7Nn6hF4Q,70
cedarrapids,Patio Table and 7 Chairs for sale,00k0k_fZ3YMlFj2zT,25
cedarrapids,Wood Bench,00W0W_3Wq1s5VJW1m,55
cedarrapids,Mirror Wrought Iron,00V0V_97eOOKlxeYq,50
cedarrapids,Sewing Table,00d0d_3dpZ8eEmN3f,25
cedarrapids,CHERRY TV STAND,00Z0Z_bKJkqg4VNEM,175
cedarrapids,7-piece Dining Set,00e0e_bK3OQdhrtIT,395
cedarrapids,Couch and Loveseat,00X0X_jdy4fjcUHjS,200
cedarrapids,Forest Green Couch and Recliner,00000_76QEUNeZOUk,200
cedarrapids,Farmhouse Dining Room Table and Bench Custom Made,01212_9UGPDiNj8zm,1800
cedarrapids,Blue Loveseat,00I0I_48nmfsC6yg6,75
cedarrapids,Dressers,00j0j_4FcK7IhNAtR,125
cedarrapids,Computer Desk,00l0l_bRxYKGh35nZ,10
cedarrapids,5 drawer dresser-- Like new,00O0O_dZPzxOqzQJC,35
cedarrapids,Vintage Italian Dining Chairs,00B0B_2EBjdjRQpqN,175
cedarrapids,Recliner,00t0t_bSEwf45Mdpk,70
cedarrapids,"Counter Stool Chairs 25"" (set of 2)",00N0N_1MQ5WgO7zEH,80
cedarrapids,Shelf,00U0U_9I0LX2Bkv9Z,15
cedarrapids,Dining Room Cherry Buffet,00F0F_cQrimpiNdn7,200
cedarrapids,Cool vintage crushed orange velvet chair rocker,00R0R_lNubAKJkJVp,25
cedarrapids,"Custom barn wood tables, benches and more from barn wood dated 1892",01111_6u0lHgNNri2,
cedarrapids,"48"" round solid oak table",00W0W_4MjTHvPrQZx,150
cedarrapids,Unique Mid Century Solid Wood Desk,00c0c_9Zd4nXGyYgl,150
cedarrapids,"Queen Bed, barely used, sanitized.",00T0T_ldE53ITJgLk,150
cedarrapids,5ft Beautiful Round Floor Rug for Sale,00c0c_fl6TwnF5Hhb,50
cedarrapids,5ft Beautiful Round Floor Rug for Sale,00c0c_fl6TwnF5Hhb,50
cedarrapids,Mid century modern industrial desk lights 1950's,00J0J_3kFYnlvTNAy,20
cedarrapids,Metal twin daybed,00N0N_cNoUAo4ixDo,25
cedarrapids,Couch microfiber,00909_dibOxnx9o5,1
cedarrapids,Cool yellow retro table lamp with shade,00m0m_bWlE4mMiAD6,20
cedarrapids,End Table with Drawer,00v0v_3NcyWquaSzJ,75
cedarrapids,"Cabinet, Howard Miller",00I0I_dZFYzexvmrk,1500
cedarrapids,Decorative Table,00303_bNJS0CtXbNq,50
cedarrapids,White futon bunkbed,01313_4my9aU7PO72,100
cedarrapids,Thomasville bedroom set,,750
cedarrapids,Kitchen table with 6 matching chairs,01010_cB9KxPNjlzv,200
cedarrapids,Vintage lockers,00D0D_4rS3cifdBmT,100
cedarrapids,Awesome Home Office Desk,00P0P_gUUXSQJeSUR,75
cedarrapids,Pier 1 Queen Size Bed Frame,00i0i_aX6ZyKTjlxm,100
cedarrapids,Set of end tables,00N0N_lO0yJJ1lRDQ,100
