raleigh,Micro suede couch with chaise lounge 10 feet wide,00N0N_2kcmNh9nhr3,199
raleigh,living room furnitures,00909_hPwI1paa9k6,1000
raleigh,Futon and Frame,00n0n_fQXcPjkFQSt,200
raleigh,Futon Chaise Lounge,00N0N_l3FcKxPgzkD,165
raleigh,Black TV Stand,00o0o_bzwRuSRsWTO,185
raleigh,Student school desks,00i0i_5I0S1qpQUtJ,15
raleigh,Lockers,00R0R_bvehPxTafJD,250
raleigh,2&3 Drawer File Cabinets,00303_aEIotiyYiwC,55
raleigh,10 drawer File cabinet,01515_dk6jXpXTxhs,250
raleigh,Cafeteria Tables,00000_crOE0a4Quq9,100
raleigh,Computer stations/Tables,00Z0Z_1kVoVaJptb3,45
raleigh,Round Tables,00t0t_ju6iASGMA19,85
raleigh,Six Drawer File Cabinets,00404_9wibeKOL5R2,235
raleigh,Wood Book  Case,00R0R_kUkjAColiPU,110
raleigh,4 drawer legal size file cabinets,00V0V_aLpCYgXb7lf,95
raleigh,Office Desks/credenza,00J0J_lpvmgctbtL9,225
raleigh,Metal Book Cases,00l0l_g3RmIDGujLq,45
raleigh,Mail/Literature Cabinet metal,00b0b_ghYWvriKdz4,125
raleigh,Teachers desk,00C0C_bZGGRI1iSjV,125
raleigh,Mobile Book Carts,00n0n_dbmVxJpAtgZ,85
raleigh,Wood Chairs,00m0m_aE2qSujRnVH,10
raleigh,Book holders/white boards On Casters,00Y0Y_lkAzKy6lQNP,120
raleigh,Podium,00Y0Y_YlHqHY04hK,135
raleigh,Av carts,00r0r_kagvBmVt85Y,45
raleigh,Lobby/guest chairs,00G0G_XwlChAAG0u,85
raleigh,Lateral File Cabinets(Steelcase),01414_epM6Pt2kmYl,165
raleigh,School Library Furniture,00Y0Y_fyINQn5E7dZ,150
raleigh,School Student Chairs,00M0M_fVIw0eoKxGH,7
raleigh,Stools,01212_9O36ui6q9i9,30
raleigh,4 Drawer vertical file cabinets,00u0u_7v77KxMEvXY,45
raleigh,Projector Screens,00F0F_b64D1TLYDzK,35
raleigh,Office  Chairs,00T0T_ixaWdvKLImS,50
raleigh,Tables,00H0H_lPIWol0yOdF,25
raleigh,Conference Table 15 ft.,00g0g_j0Ryyyvn9l6,500
raleigh,"Rich Warm Honey Pine ""Victorian"" era Queen Bed FRAME",00B0B_N5Kf0kSDWW,265
raleigh,STEELCASE AMIA CHAIR,00K0K_3w1XsBJWGDW,175
raleigh,2016 Steelcase Think NEW,00w0w_7lnWBxSW6ha,150
raleigh,2017 New Steelcase Leap chairs,00W0W_7zy2WBjIbv2,225
raleigh,Antique / Vintage Chest of Drawers,00l0l_i9BEM3skHJF,100
raleigh,Antique Buffet Table,00V0V_5sP5r22DrtP,225
raleigh,Gold Queen Canopy Bed,00N0N_cIr7SbfszMe,600
raleigh,Antique Vanity and Chair,00909_fKYe4Ft1OtQ,175
raleigh,Great desk for student or small home office,00n0n_b43Okqmmsgv,150
raleigh,Very clean and a good working condition 2 doors Kenmore fridge,00K0K_8PW01sEDDJC,100
raleigh,Set Of very nice and clean pedestal desk and a credenza desk fo,00T0T_dZbzxJOeR4n,200
raleigh,OIL PAINTING,00q0q_ftDJC7fvfdR,200
raleigh,Cherry magazine rack,00F0F_1BOo01LaccU,25
raleigh,Rustic farmhouse dining room table,00y0y_1ghQsSxUmge,
raleigh,Anderson and Daishi Buffet,00i0i_fKF1GOFooF1,900
raleigh,I have 11 Folding chairs  each for,00F0F_h5jK5Q7tqzs,
raleigh,Dining Room Chairs....Hickory Furniture,00Y0Y_2g4VheLeMnl,65
raleigh,"Bathroom vanity, dresser, buffet, entry way table",00u0u_kqMnFicMTET,850
raleigh,Bar / Storage Chest,00q0q_lbnZzqkkhyR,125
raleigh,Six Drawer Dresser,00a0a_4Cpk9KfdG4i,195
raleigh,Garment Rack w/ Shelves,00k0k_juxx7xzLP87,45
raleigh,FREE cherry desk --moving,00Z0Z_4kYGP5NrK6i,
raleigh,Three Drawer Chest with Hutch by Lexington,00u0u_jUE3c2KC1gu,225
raleigh,MIRROR,00U0U_a1Y2rYAYuUL,35
raleigh,Queen Thomasville cherry storage headboard,00U0U_661FH2eH2jO,60
raleigh,CUSTOM MADE NCSU PENNY TABLE,00S0S_cvMREkSIMWy,350
raleigh,Oak Dining Room Hutch and Table,00j0j_bnfJbgUga5Q,500
raleigh,P'kolino Toddler Desk,00E0E_6noCQ6W3ilC,35
raleigh,Laura Ashley oversized traditional chair,00y0y_8lxgeVTG4tg,80
raleigh,Cindy Crawford Three Piece Sectional Sofa,00000_dwV5M5e1XGx,500
raleigh,Ethan Allen Dining room suite,00b0b_4uEJgbem3Gm,
raleigh,"Ikea malm white full size bed set with 8"" memory mattress",00f0f_9f5EMUeafaF,400
raleigh,Tan Used Couch,00p0p_7h6FQ6GAAEe,75
raleigh,Bean Bag,01414_5p5RV7YsR16,15
raleigh,Antique Oak wardrobe,00n0n_hjn2Eckyx7l,200
raleigh,Fish Tank 75 Gallon,00w0w_1eeIMlFJ0fT,150
raleigh,Leather Sofa and Love Seat,00d0d_aQ9EqWnnaUG,225
raleigh,Two Leather tall barstools,00z0z_jTX8pHEPoC1,125
raleigh,Curio cabinet,00X0X_d3AgsbRoIR0,175
raleigh,Ikea queen bed,00v0v_cTYh36IcxO7,150
raleigh,Farmhouse-style Accent Table - I have two,00q0q_1QwaQkbJeQ7,120
raleigh,Two Twin Sleigh Beds,00u0u_jXD9ZIdXPPn,250
raleigh,Bench and mirror entryway piece,00x0x_gX4IdAfEaXx,50
raleigh,Bean Bag,00J0J_f1t5KSqmWxE,10
raleigh,Coffee Table Chest ( dark brown),01414_9bnZyj3H4M1,155
raleigh,large solid wood mirror,00D0D_jX7HeIJ3dbT,20
raleigh,butterfly rug,01515_htqqmoOwOAV,35
raleigh,exercise bench,00v0v_5RVaPZwsEDM,40
raleigh,Sofa+Chair,00v0v_29STI1eL5zd,80
raleigh,dresser drawer,00f0f_cnuvkWAATHR,99
raleigh,LIGTH GREEN ROLLED ARM SOFA,00v0v_85Zqa3idrZm,400
raleigh,Living Room Set,00m0m_fkiCBxNmPuk,600
raleigh,Arm Chair,00n0n_69lwQRBc32E,85
raleigh,1940's Wardrobe cabinet antique great condition,00M0M_iO8r5zhd12i,240
raleigh,Living room items,00s0s_fDg8wKKV4Ek,60
raleigh,Wooden dresser with mirror,00L0L_g9yxaLo17l7,50
raleigh,Antique 5 Drawer Dresser,00d0d_7kpxF1MJ4RX,175
raleigh,Loveseat   leather & fabric,00g0g_6GAtalwwimc,75
raleigh,Nesting table with tray,00a0a_DKk7ehyQ7k,65
raleigh,Garden furniture table and 4 chairs with umberella,00P0P_eAktFYgRY59,175
raleigh,King Size Headboard,00707_hrKIfbf9pLx,80
raleigh,Small Solid Oak End Table,00t0t_gWxT2QElrQM,20
raleigh,RUG / CARPET,00e0e_6wtp909dDZ0,90
raleigh,Ethan Allen Beveled/Tempered Glass and Oak Wood Coffee Table,00N0N_hbM0FJwUaNz,85
raleigh,Beautiful and Comfy Upholstered Chair,00808_iplAjZ03Tq2,150
raleigh,Vintage Solid Wood Table Floor Lamp,00H0H_9K1ANTX9bIw,35
raleigh,Small White Ceramic Table Lamp,00S0S_htRSiXeC6wS,15
raleigh,Sharp Large Gold Table Lamp,01515_dPUhRYEL6qO,20
raleigh,Coffee Table w/Storage Chest Wicker & Oak Nice!,00l0l_3ah0YCEx96u,75
raleigh,Vintage Mahogany Knee Hole Desk w/Rope Braiding,00c0c_a0ZV9DptB60,115
raleigh,2 Large End Tables w/ West Indies Flavor,00Q0Q_lxOpSrzlafR,45
raleigh,"Vintage ladder back arm chair, woven rush seat",00N0N_7wvf3AubCV9,150
raleigh,Sofa Table,00k0k_efOQc3mQck,75
raleigh,ISO mattress and box spring,,
raleigh,Pub Table with 8 Chairs (Only 6 in Picture),00p0p_i6bhGrK6Lhn,500
raleigh,Couch or Sofa - Tan Microfiber like new condition,00K0K_1BUNKBOko7K,75
raleigh,Dining Room Table with 6 Chairs,00000_jvWkdok2q1w,500
raleigh,White Daybed Trundle Suite,00z0z_8Pc8eZIjcSc,850
raleigh,Brown IKEA Desk Top (legs separate) - excellent condition!,01515_fduSuyh3Fj6,5
raleigh,Girl's twin headboard,00e0e_fT1HVYfCrP2,5
raleigh,BLANKET CHEST  Cherry Wood  Storage Chest w Drawers,00000_bBVI2afysXH,299
raleigh,PAIR  OAK Swivel BAR STOOLS  by Nichols & Stone Bar Chairs,00e0e_3UAGtsdcoiM,159
raleigh,KITTINGER Furniture Storage Cabinet  Office Credenza SOLID MAHOGANY,00V0V_5ZCw2dmDC0c,225
raleigh,Leather Chairs PAIR Formal Office Library Chair TOP QUALITY,00505_jeeCHZNzHaE,599
raleigh,STICKLEY Dining Chair Set of 5  Cherry Wood Windsor Chair Set,00M0M_fv7y35NT0ML,1195
