wenatchee,Full size bed,,75
wenatchee,Desk,00h0h_YJrHtiHRNw,30
wenatchee,Dining room set,00V0V_80NdCmjISV,1000
wenatchee,"end tables, book shelves,  other items",00p0p_e3wY8hy48SV,
wenatchee,Twin box spring,,25
wenatchee,leather sofa & other furniture,00404_3uMHGDu0EhY,
wenatchee,Tall table and 2 chairs,00d0d_hBZPG8JrHOE,120
wenatchee,2 Double Beds,01010_7C5pORKsLAE,75125
wenatchee,Display Cabinet Beautiful,01212_2f5Gab8mS9H,50
wenatchee,Beauty rest King Matress,00K0K_5JQbGYvdjq9,30
wenatchee,swivel leather bar stools,00909_eoL99DhtIlV,150
wenatchee,Mersman 7391 Side/End Table Mid Century,00606_dLfeexo0UXO,35
wenatchee,LIFT CHAIR,01515_g4Cb8UAEg4K,425
wenatchee,**Ultra StellarComfort Silt Lift Recliner**,00f0f_dUU7OeSS7vn,650
wenatchee,The Most Comfortable Couch,00S0S_jZYSeLoBix8,500
wenatchee,Black TV Stand,00r0r_4aNpiroRkKj,50
wenatchee,Wooden Night Stand,00A0A_fMrwjYL35pY,40
wenatchee,*** VERY NICE LAZYBOY ROCKING LOVESEAT RECLINER ***,00P0P_dqHrlftUnOv,450
wenatchee,Shabby Chic Coffee Table,00606_fggi8nwpOm0,50
wenatchee,Glider rocker,00j0j_3r2m463EzJj,90
wenatchee,Leather Couch,01111_fsI0beyuj9V,150
wenatchee,New reclining gliding rocking chair,00303_hDU4n1VZSXy,180
wenatchee,Table and chairs,00x0x_4rllauT19Rn,400
wenatchee,Drexel Heritage corner china,,500
wenatchee,Vintage Dresser recently redone,01111_SgpAXfYqGY,250
wenatchee,Animal print chair,,50
wenatchee,African 3 pc Canvas  Art,00i0i_9E6gvqcY6Fx,50
wenatchee,Massive Live Edge Slab Table,00Z0Z_4HTSOt8A0nY,3900
wenatchee,Full Size IKEA bed frame,00808_dhK86H61yAd,100
wenatchee,Fall wall decor.,00H0H_5vWL1iap8Ti,20
wenatchee,fall decor.,00o0o_a3kCLAteGft,10
wenatchee,cat pillow,01313_2QZnSgKKn0H,10
wenatchee,outdoor pillows,00r0r_1Up3Nb24it3,10
wenatchee,oversized chair.,00707_cAM3TVIhUEr,100
wenatchee,Electric Fireplace,00M0M_33SiSzeXmMI,20
wenatchee,Three drawer  dresser,00X0X_h4BUBvB8uI3,75
wenatchee,Beautiful  oak roll top desk,00D0D_epks8RPQRmr,300
wenatchee,Beautiful floral loveseat hide-a-bed,00808_3gpKg2VaIvi,200
wenatchee,Loveseat hide-a-bed and shabby chic trunk,00y0y_3UT9n493JtL,200
wenatchee,Shabby Chic Trunk,00K0K_jIrwHDSBMIm,75
wenatchee,King/queen bed frame,,30
wenatchee,Italsofa leather couch,00b0b_lVVvSzaOO96,600
wenatchee,custom made china plate shelf case,00x0x_cBxrpxRmixV,40
wenatchee,Wood divider,00p0p_6Isdb376yxy,200
wenatchee,Homespun Moroccan trellis grey rug,00707_3LQC3DKWaZq,135
wenatchee,like new king simmons beautyrest plush matterss pillowtop,00G0G_usL120rE5o,200
wenatchee,glass bronze coffee table,00P0P_iJlW4PXahdx,100
wenatchee,sideboard buffet servers,00P0P_9QGNvwwhpD4,400
wenatchee,2 drawer all wood file cabinet,00101_8Vs9U72ApBY,25
wenatchee,work staiion,01414_e53pO7xTJMa,40
wenatchee,"Moving, lots to go!",00505_7zBP6NYgue7,25
wenatchee,leather stool,00g0g_kFcmZQV8wGl,50
wenatchee,Computer Desk & Chair BRAND NEW!!,00X0X_5uDfNz7rmPm,75
wenatchee,"Entryway Table, Sofa Table,T.V. Stand",01414_2GNJ2xhJqE,100
wenatchee,Nice compact (2) piece sectional sofa,,275
wenatchee,Oil painting,,40
wenatchee,Glider Rocker with Matching Ottoman,00F0F_35C9CbH4px3,99
wenatchee,Free Box Spring,00z0z_lcCjmMI4j1f,
wenatchee,NEW Ashley By Design:  Gavelston LG TV Stand With Fireplace I,00000_9JLjHH0crIt,600
wenatchee,Needlepoint pillow,00606_2VPz4HQEh52,5
wenatchee,Brown faux leather chair,00d0d_hGO9u5zK5Kc,50
wenatchee,Huge beanbag,00L0L_gtGUXIG2Swg,100
wenatchee,Wood and leather rocking chair,00f0f_1eZncxDyOeb,85
wenatchee,"3-Piece entertainment center, cherry wood, very good condition",00101_3gUgDPmLvO4,625
wenatchee,Canvas lawn chair,00Z0Z_4O5vpG5fScw,5
wenatchee,Pine queen bed frame,,250
wenatchee,Game table with built in backgammon and checker board,00d0d_GFTMrmBLn0,225
wenatchee,Red couches and Ottoman,00b0b_gA1oG8z9W7z,750
wenatchee,Hope Chest,00101_5Oknce20qLS,75
wenatchee,Patio chairs w/ ottomans - two,01717_8yDPKhRBLdj,40
wenatchee,Large leather chair,00U0U_31AkNp6uIXV,40
wenatchee,Chic Golden Chair,00a0a_ah7O4oE2BGm,30
wenatchee,Nice compact glass top dining table w/4 chairs,00B0B_Mv6rCMak5p,145
wenatchee,Big Joe..2-in-1 ~Bean Bag Chair/ 6 ft. Flip Lounger/ Comfortable Bed~,00404_9Npcsg19tNf,35
wenatchee,"Beautiful Solid Wood ""WALL SHELF"" with brackets to hang on wall",00p0p_3VULZuC2m0R,10
wenatchee,Couch,01616_3cCOQC6nFo8,75
wenatchee,Curio Cabinet,00t0t_7xOphXwmnzT,1200
wenatchee,Young Steller's Jays & Young Robins Pictures,00808_lSxq6NffZUw,250
wenatchee,Waterford Crystal Table Lamps,00W0W_2yfYvzJvdyf,150
wenatchee,Accent Chairside Table/Magazine Rack,00o0o_hFrq7Hv5sxz,50
wenatchee,2 Couches for Sale,00202_hKh6IrY4kBY,150
wenatchee,Chaise Lounge,00A0A_eS3zoN7x9OI,200
wenatchee,Lighted oak china cabinet USA Made!,00y0y_28Y4wNPNZnC,225
wenatchee,Cabin style Lamp,00L0L_gz1LWOPRGDL,10
wenatchee,Refrigerator,00w0w_fDvP2Y3LrfZ,195
