blacksburg,Fireplace mantel,00101_kg1oja8Kt1S,40
blacksburg,Antique vanity,00b0b_j3dxDdnfOJs,99
blacksburg,Dining Room Table with Six Chairs and Two Leaves,00606_h0LyqVyfzEb,250
blacksburg,Rocking Chair,00w0w_8G5FHGFdH1T,75
blacksburg,Beige/Cream Linen Sleeper Sofa Couch/Futon,00F0F_jDb9jrpenOi,75
blacksburg,Beige/Cream Linen Sleeper Sofa Couch/Futon,00H0H_HoQpSISH9z,75
blacksburg,Wooden Chest of Drawers,00A0A_kid0TkSBFE,40
blacksburg,Wooden rocking chair,00909_kzuSnHiEbA9,20
blacksburg,Bakers Rack,00H0H_T4mrY5g20f,40
blacksburg,Couch and love seat,,700
blacksburg,5pc Kingsize Bedroom Suit,00B0B_cN1wp9sQNGg,1250
blacksburg,Fullsize OAk Bedroom Suit,00909_4UEnQtj1wWl,625
blacksburg,Couch,00n0n_4IgUzTSi02l,75
blacksburg,Oak cane bottom chair,00606_frx0uEkBOVn,25
blacksburg,Chest of drawers-5 drawer.  SUPER CUTE!,00Y0Y_jeBkmYfJmyQ,65
blacksburg,Dresser-double mirror -  BEAUTIFUL!,00f0f_7UpE00gE8Ut,100
blacksburg,7ft Farmhouse Table ~~NICE!!,00T0T_cmeLtToNFGy,640
blacksburg,Hand-tufted wool beige/burgundy carpet - 8x10,00O0O_jBNvHeqaZsO,25
blacksburg,Large vintage dresser for sale,00y0y_9STPzGbwt8D,40
blacksburg,Sleep Number i8 Split King Matthew and Flexfit 3 Adjustable Base,00u0u_c6PLGNyq0Ty,2700
blacksburg,Vintage Wooden Quilt Rack,00101_3BfU8CVHNV9,30
blacksburg,Table,00N0N_fvzX9x2kIIg,10
blacksburg,White chest of drawers shabby chic,00B0B_jKdN5Q7euiv,124
blacksburg,Dresser wood,00N0N_8snMq0JrImX,89
blacksburg,Mid Century desk,01515_aU45v8yA8HZ,39
blacksburg,Mid Century dresser painted blue.,00a0a_i2b4Ji78MeF,69
blacksburg,Mid Century TLC chest of drawers,00p0p_5IbHox7YJ5D,39
blacksburg,Solid wood dresser/changing table combo,00t0t_9q79AxvJN4d,200
blacksburg,8 Way Hand-tied Coil Sofa by Taylor King,00e0e_7KEA0FnSKdv,70
blacksburg,Black Laminate Wooden Shelf and Drawer Combo Unit,00A0A_gqMkfSvU042,12
blacksburg,Pair of Small Black Laminate Wooden Book Cases,00Q0Q_2BbGWm28R8h,15
blacksburg,BUTTERFLY DINNING TABLE AND CHAIRS SET NICE COMPACT TO BIG SET,00T0T_5C5Lqx1uWS1,
blacksburg,The Bombay Co. Rectangular Hallway Table Antique Style,00h0h_aV5uwPbEQIC,150
blacksburg,"Bassett Mirror 77.5""H x 41""W Decorative Gold Painted Frame",00T0T_ep2EZcHdoRH,250
blacksburg,Decorative Half Circle Wooden Table With Iron Legs Antique Style,00s0s_2LV8JXFfker,150
blacksburg,Ashley Furniture Rectangular Hallway Table Antique Style,00d0d_cVXNkpaXRST,195
blacksburg,Pulaski Furniture Wardrobe Entertainment Cabinet with Base w/Drawer,01616_hxgsEPclHxN,450
blacksburg,Pulaski Furniture Solid Wood 4 Poster Queen or King Bed Frame,00707_gJoydUVK0FM,800
blacksburg,Pulaski Solid Wood & Glass Hutch China Cabinet Mirror Back & Lights,00Z0Z_vzTlUtVptZ,750
blacksburg,Looking for full size bed,,
blacksburg,Solid Wood Dining Room Table w/ 6 Chairs,00B0B_57qaaulwTRR,800
blacksburg,Double or Triple Seated Metal Framed Chairs Floral Pattern,00H0H_2S5xenS5mvx,15
blacksburg,"Large Bassett Mirror 78""H x 36""W x 1.5""D Gold Painted Frame",00I0I_5aWgqwnLqLg,250
blacksburg,Wooden Cable Spool,00v0v_73b1VPhV88l,50
blacksburg,Corner cabinet,00L0L_i5dDg8iiOV6,20
blacksburg,Leather rocker,00J0J_7EY75IOutA1,40
blacksburg,"Sofa, toddler bed, double size bed, kitchen items, BBQ, dresser ...",01515_e7NN9iXi2C1,1
blacksburg,"Leather sofa,night stands,end tables.pictures,rugs for sale",00b0b_iNz7X9DAHGa,
blacksburg,Solid oak computer desk,00W0W_bU2Yi8iWKrO,75
blacksburg,TV Stand - New In Box,00G0G_fLCSx8CsU89,55
blacksburg,Two Hanging Frames with Color-able Pics,00a0a_hRy5gneRaPX,8
blacksburg,Leather Sofa/Chair,00g0g_kVVVzMaa27C,1100
blacksburg,Farmhouse Table/2 Chairs,00t0t_1WsxqddcdCf,150
blacksburg,Pull Out Sofa,00K0K_bTiTi88RWpp,80
blacksburg,King Chocolate brown tufted floating headboard,00g0g_fKMslKvS6ou,250
blacksburg,Bed frame,00X0X_bqeRUj3MEfH,25
blacksburg,Entertainment Center,00202_9jR3xj4LWa0,80
blacksburg,Handmade bench,00W0W_6bniI2Ts3eK,125
blacksburg,Entertainment Center,00t0t_hMfPYZv8iNI,150
blacksburg,Curio Cabinet by Pulaski Furniture Corp.,00I0I_3V6uZ5qLJ1u,60
blacksburg,Rustic handmade bench,00s0s_dgiOxj0YVcW,125
blacksburg,Rustic handmade bench,00e0e_hattxtxPki,125
blacksburg,Futon for sale,00S0S_3N2zaB5kEQi,50
blacksburg,"Granite Countertop 31 3/4"" X 20 1/2"" X 1 1/8""",00n0n_3Cbd8w16wdW,200
blacksburg,Red oak finish side table,,100
blacksburg,Solid Wood Hutch,00p0p_4Y6Akb8GvWK,50
blacksburg,Large kitchen table,00L0L_7jOlRoEAHpg,60
blacksburg,CHAIR & OTTOMAN [by] LT DESIGNS,00a0a_5vrJhHWUJQl,125
blacksburg,Green Oversized Couch,00G0G_eX5ZsxtjDBm,140
blacksburg,Old solid wood large dresser and mirror,00202_2nfn6t86Is8,120
blacksburg,Very Nice 3pc Reclining Living Room Set,00m0m_bI4v6QsqlBs,1300
blacksburg,Youth/Toddler Bed,00H0H_3gxZwRFFAYe,150
blacksburg,File Cabinet 2 Drawer,00o0o_kzyoVRkOkkh,24
blacksburg,Kids bunkbed,00A0A_iLPMUmsjx4o,250
blacksburg,Used twin mattress,00S0S_dZ6EUKoGjQx,15
blacksburg,JUST IN TIME FOR THE HOLIDAYS - Mahogany table -extends to 11 feet,00606_edQdBMTZZ39,500
blacksburg,Queen ComforPedic Foam Mattress + Platform Bed,00g0g_7o6DFM4J5oI,500
blacksburg,"queen size bedframe, metal, padded",00U0U_4wbEyEYQho2,275
blacksburg,Solid Oak Corner Entertainment Center,00r0r_k4OgiMQwEJ0,400
blacksburg,Oak/Glass Curio,00u0u_lv8qPgMWeDO,400
blacksburg,Ridgeway Oak Grandfather Clock,01111_dW5B9nWebhb,500
blacksburg,Solid Oak Farm House Table,00h0h_5nCz8c6IBoo,1500
blacksburg,Solid Oak Corner Buffet Cabinets,00m0m_5veDdNldwSg,600
blacksburg,Kincaid Solid Oak Bedroom Furniture- Very Good Condition!,00A0A_1zSMCfFC3fO,1000
blacksburg,Oak double file cabinet,00d0d_c1lAOX0YeWD,45
blacksburg,Bench,00u0u_1zqgwDwZwFh,100
blacksburg,Handmade bench,00D0D_lWtg10AlA1E,100
blacksburg,5 pc. Solid Wood Kitchen Table,00x0x_3ZZbBg0vYi7,100
blacksburg,"Clearing out house, make offer *New Pics*",01616_2JNzRvUOxsH,1
blacksburg,Couch and Chair,00C0C_9Ed8muDFWKN,70
blacksburg,Classic Hardwood Entertainment Center/Display Case,00X0X_amW5cCpFUvu,500
blacksburg,Solid oak table,00f0f_loCR7Kdksjb,350
blacksburg,Set of 6 dining chairs,01313_1au3orYXXOt,150
blacksburg,Dining set,01717_iHoG8QgHPuA,80
blacksburg,Sofa & love seat,00a0a_l72MhlxENqq,150
blacksburg,Small desk,00n0n_98EUrg2IwZO,10
blacksburg,Fold Out Sofa,,80
blacksburg,MUST SELL  tv stand,00606_fMsTTV5GOKO,50
blacksburg,Vanity and bench,00Y0Y_ad3um7QrkAh,45
blacksburg,Small table,00f0f_2ia9F8Y6mV4,15
blacksburg,Padded chairs,00H0H_6lqqdHDjorj,8
blacksburg,HON file cabinet,,75
blacksburg,"Zinus 8 Inch Hybrid Green Tea Foam and Spring Mattress, King",00q0q_gGMnzY49KzN,100
blacksburg,Desk,00606_fNGxEPCgoOF,10
blacksburg,Glider Rocker Chair,,25
blacksburg,Table,00V0V_j2eTI35Vx7J,20
blacksburg,Dining chairs,00O0O_52tUmMT7Azx,25
blacksburg,Queen mattress like new from camper,00O0O_18yvYz0AK5p,50
blacksburg,Queen boxspring,00909_gl9JontPsMh,50
blacksburg,Hospital bed,01616_bzE3H1nnzZn,100
blacksburg,42 inch round wooden table,00K0K_gqHM2pdsxq6,100
blacksburg,Modern living room set,00l0l_3VsxiHsTFFa,700
blacksburg,table,00Y0Y_8lCNKqSaAkz,20
blacksburg,"drawers, mirror",01717_8mdnas4MQPM,50
blacksburg,very comfortable recliner,00t0t_kNR1uqxwvuR,50
blacksburg,table and 4 chairs,00101_hXZgSClso9M,65
blacksburg,***Large Oak Dining Room Table and Chairs***,00G0G_4aCDADeJUEm,395
blacksburg,Queen bed frame,00g0g_ldOucQKQj1P,25
blacksburg,Set of twin bed Frames with night stand,00J0J_jqGjb0FLwQV,100
blacksburg,Temple Stuart Hutch,00Z0Z_3IlHaLhnjHw,125
blacksburg,Solid Pine Armoire by Kincaid,00S0S_hP1IraO1prA,384
blacksburg,Vintage 1950's Formica Chrome Extendable Kitchen Table,00909_haEfmCU68HE,250
blacksburg,Matching end tables and coffee table set,00T0T_dt3ZzWxyTt,75
blacksburg,Beautiful wicker Table/Coffee Table With Seats/Storage,00n0n_bUlygx3e5zf,225
blacksburg,"36""x55""x30 Farmhouse Table",00h0h_33jaYNQpNhL,225
blacksburg,Adirondak Chair set,00505_4UcFl7LSXWW,170
blacksburg,"6'x3'x30"" Rustic Farm Breadboard table",00a0a_93O0Stp8Fzv,450
blacksburg,Farmhouse table and bench set.,00808_6XHZmd6RccX,325
blacksburg,"6'x3'x30"" Rustic Pub height table",00000_gtDVe0R44hS,325
blacksburg,Complete matching bedroom suit,00S0S_9gXoMSyMLeZ,500
blacksburg,"8"" Dual Layered MEMORY FOAM MATTRESS - Twin XL",00101_edsefTEZSZw,85
blacksburg,PAIR of BEAUTIFUL PINE WOOD CHAIRS,00707_ewiFgH1L0JQ,25
blacksburg,White Full Size Bedroom Set,00N0N_dU1HGeyaWtZ,200
blacksburg,computer desk-,00b0b_3FcsekqOOYs,10
blacksburg,Cherry Chest of Drawers,00l0l_1oNhS13fHji,100
blacksburg,**marble top coffee table (BLACK && GREY)**,00Z0Z_8hgsVhQJff8,50
blacksburg,chest and nightstand,00R0R_kaDjPcMhMKv,100
blacksburg,Couch / desk / office chair,00o0o_5BpNNqisD09,75
blacksburg,Dresser,00202_kje8cZohbBP,60
blacksburg,Elliptical machine,00r0r_9jb6RFqKO1q,90
blacksburg,Patio unbrella,00b0b_f1UmeNYVuaJ,150
blacksburg,Light Wood Entertainment Center,00000_b10ywq9L3xC,149
