merced,twin size captain's bed,,150
merced,Glass furniture 3 piece,00L0L_894ma5jKmmp,100
merced,6FT x 3FT Rustic Dining Table,00m0m_edKaUUrHErw,300
merced,Black recliner chair,00k0k_1Dym32FXenq,40
merced,Brand new queen Simmons Beautyrest,00o0o_i3wnYY9iNkp,
merced,((( BRAND NEW HIGH END MATTRESSES ))),00N0N_bSRxijILM4g,500
merced,Brand new queen size Simmons Beautyrest,00R0R_9EX4K8ILEN0,
merced,NICE Solid Wood Dresser and Desk w/ drawers *Matching Set*,01010_bqX2Wyr4YHx,150
merced,Mid Century Dresser Armoire w/ Drawers ~Hollywood Regency w/ Burl Wood,00j0j_8MxVAGSH1Jr,299
merced,"Twin Bed - Mattress, Box Spring, Frame *like new!*",00o0o_9RGbXcFzriv,150
merced,Box Spring for Twin Bed + Maple Headboard and Foot Board,01717_74xyEzVRrRk,35
merced,Buffet Table / Sideboard w/ Optional Glass Hutch *Interior Lights!*,00S0S_1TfOHP6p4lL,125
merced,Sleigh Bed King Size,00b0b_cIhIwb5RmE8,500
merced,Pullout Sofa Bed Couch,00m0m_e65bge8cTtk,180
merced,Antique sofa table,00e0e_4A61pW7h3Qu,65
merced,Dining Table and 6 Chairs with 2 Leaves,00p0p_jlOQAog4ldh,180
merced,Nice lamp,00e0e_d8aaV8WGvVb,75
merced,6  upholstered dining chairs,00Y0Y_dnQdpAeQHfR,115
merced,Bar stools set,,42
merced,Wooden Bar,00101_iVNVLxXNQCc,70
merced,Book shelf,01111_s453kBguQQ,55
merced,2 chests,00q0q_aAEzNcEcCiA,50
merced,New queen size Simmons Beautyrest,00o0o_i3wnYY9iNkp,
merced,oversized black bar stool,00H0H_6P6LKuEFM2A,35
merced,2 Wooden Chairs for sale,00Z0Z_6Eh1ZOInMhd,25
merced,Oak Entertainment Center,01515_84o2scvok4c,65
merced,Long Buffet,00S0S_dlOOGoiej2E,200
merced,Elegant Buffet,00101_5VCDhK3NpCV,195
merced,move sale (things left),00R0R_lHzmE8nUxeT,20
merced,Queen bed set,00z0z_lGDgw4pHOpt,
merced,Solid Wood Dresser - Chest of Drawers,00808_534skzT7SPB,100
merced,"Mid Century Style TV Stand, Media Table, Entertainment Console",00F0F_d0Q5jnw0VIO,175
merced,Box Spring for Twin Bed + Maple Headboard and Foot Board,01717_74xyEzVRrRk,35
merced,Twin Mattress,00L0L_hDq79XZt9AE,40
merced,Cal king custom log bed set,,800
