springfieldil,Night Stand,00r0r_7ItfBrhviUE,15
springfieldil,Mattress Pickup (springfield),,
springfieldil,Hutch-China cabinet,00G0G_9ZJQhxcLWhW,390
springfieldil,~~WEST INDIES ENTERTAINMENT CENTER~~,00303_6jyd2QAAoaT,700
springfieldil,Broyhill dining set,00p0p_cLvW8EFKvuc,275
springfieldil,Matching Queen Size Mattress Set,00D0D_jQM87zwfgQG,125
springfieldil,Oak entertainment center - Must go this week,,100
springfieldil,Golden Lift Chair - $1200 new - EC!  Made in USA,00z0z_5e4VyB53IZ0,500
springfieldil,Oak Cabinet,01414_iWX9bguAdaR,60
springfieldil,"Table, 4 chairs, and server",00303_cy413v53xTg,500
springfieldil,Armoir - Cherry- Gorgeous,00I0I_rNu9xhxYPK,349
springfieldil,Antique China Cabinet and Buffet,00L0L_1nIdPxxOUZJ,412
springfieldil,WOVEN WICKER DINING CHAIRS,00e0e_TspuNro8ij,75
springfieldil,Framed Picture,00H0H_ahpZf1rDV40,45
springfieldil,Midcentury Broyhill Brasilia dresser with mirror and tall boy,00W0W_eZAa09HAUI8,1000
springfieldil,Oak Roll Top Desk and Chair,01313_gBSE75uM7SE,125
springfieldil,octagon end table,00U0U_7h3YVf7Oa01,20
springfieldil,CHINA HUTCH,00L0L_e5CftBa69NW,90
springfieldil,Rustic Hickory Log Furniture,01010_67y4wyrVncW,
springfieldil,Natuzzi Leather Couchn Loveseat and Ottoman,00G0G_4UFuFCChkEu,600
springfieldil,Vintage Herman Miller U of I Shell Chairs,00606_iCqRkWGZ6jC,200
springfieldil,Awesome Pair Mid Century Modern FAIP Lamps,00h0h_b3B6AvyfRfF,100
springfieldil,Sofa/Loveseat Dining Room Coffee Table Curio Cab Bedroom,01010_deZ0fAQC1BV,
springfieldil,SMALL KITCHEN TABLE,00w0w_6o93BuLRkjb,20
springfieldil,KING SIZE RECLINER,00A0A_lLGwOkTrSiy,100
springfieldil,Whitman Medium Wine / Cider Press,00l0l_gCUwc5aRw95,1500
springfieldil,NEW BATHTUB,00H0H_aUHjiuSqDcJ,750
springfieldil,TOTO TOILET,00r0r_chQgyo8IGav,250
springfieldil,DUNCAN FIFE ANTIQUE TABLE,01616_lwmhBRPDhEP,75
springfieldil,TV TABLE,00W0W_abw3ZeaMO0W,20
springfieldil,HALLWAY  TABLE,00606_5KewA5UzfmM,50
springfieldil,ROCKING CHAIR,00j0j_lgj6t31UVrb,30
springfieldil,CABINETS,00A0A_g3QOZjaPxLO,30
springfieldil,"One twin headboard, one full headboard, one twin box spring",00W0W_8KYmTrwqNoK,
springfieldil,Living Room Furniture,00J0J_b6BcHXIN3NV,600
springfieldil,Oval Braided Rug (8X11),00L0L_44jXyfOeoe6,45
springfieldil,Candy holder,00M0M_5SaudtapIHY,5
springfieldil,Like new big man's reclining chair,00C0C_eSyunYV45Nm,500
springfieldil,Solid wood bunk bed,01717_d69O655uhAg,300
springfieldil,Dresser mirror and nightstand,00y0y_9Myoi82nyCJ,400
springfieldil,TV Stand,00A0A_jB54EEs41yI,50
springfieldil,Electric Fireplace,00M0M_jSeBNwpud7N,100
springfieldil,Dining Room Set,00c0c_Ku0fJJUgdI,200
springfieldil,Bookshelves Solid Cherry Wood,,250
springfieldil,Brand new convertible couch,00Z0Z_jyCKbI9JAcc,200
springfieldil,Leather Sofa and Chair,00Z0Z_R3ohWHdR7J,125
springfieldil,Dining room table and chairs,00S0S_bMzNOPM5i0z,250
springfieldil,solid oak claw foot end table/nightstand,00y0y_7JapDypS8KA,20
springfieldil,Daybed with trundle,00W0W_iFZFRJ5ehZU,425
springfieldil,"Love Seat 72""",00w0w_aUPMSkpSzxS,70
springfieldil,Dining room table w/two leaves,00Y0Y_fQfGByWlJYb,80
springfieldil,Metal padded chairs 3,00B0B_4NuHR6a0MCf,20
springfieldil,Vintage Coffee and End Table,00F0F_4piz7w7k79p,50
springfieldil,Cedar Chest w/blue suede cushion top,00N0N_bi4qoft7rze,150
springfieldil,Media Cabinet Storage,00y0y_f9bEMIfKKM8,80
springfieldil,ROLL TOP DESK,00w0w_lUKCkpWt7dU,105
springfieldil,FOLDING METAL SHELF,00G0G_jcEd8TX3OIK,10
springfieldil,Bedroom Dresser with Mirror and Matching Desk,00505_36ODIZy7qNt,150
springfieldil,Mid Century Modern Kroehler Desk,00q0q_jTYGTrG7jR9,115
springfieldil,Mid Century Modern Folding Table,00Y0Y_fqb37Kvcd0I,35
springfieldil,Mid Century Modern Chrome Cantilever Chairs,00b0b_fTOL8mXE51a,295
